id,nome,municipio,fonte,tipo,lat,lon,rio,bacia,bacia_oficial,area_drenagem_km2,nivel_cm,medido_em,chuva_24h,chuva_72h,vazao_m3s,origem_vazao,cota_atencao_cm,cota_alerta_cm,cota_inundacao_cm,situacao,cor,observacao
ANA_73436000,Pch Albano Machado Barramento,Trindade Do Sul,ANA telemetria,PLUVIOMETRICA,-27.5022,-52.8106,Rio Lajeado Do Lobo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73437000,Pch Albano Machado Jusante,Trindade Do Sul,ANA telemetria,PLUVIOMETRICA,-27.4964,-52.8031,Rio Lajeado Do Lobo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73440000,Uhe Monjolinho Nonoai,Nonoai,ANA telemetria,PLUVIOMETRICA,-27.4822,-52.7797,Rio Passo Fundo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73444700,Barão De Cotegipe,Barão De Cotegipe,ANA telemetria,FLUVIOMETRICA,-27.6242,-52.3839,Lajeado Grande,Não catalogada (ANA),,,,2026-08-24 17:50:00,0.0,0.2,,,,,,Sem cota de referência publicada,gray,"nivel_cm=66087 fora da faixa [0, 5000]"
ANA_73444750,Paulo Bento,Paulo Bento,ANA telemetria,PLUVIOMETRICA,-27.6986,-52.4181,Rio Cravo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73445000,Uhe Monjolinho Cruzaltense,Cruzaltense,ANA telemetria,PLUVIOMETRICA,-27.6694,-52.5842,Rio Erechim,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73448000,Uhe Monjolinho Rio Erechim,São Valentim,ANA telemetria,PLUVIOMETRICA,-27.5703,-52.6781,Rio Erechim,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73490000,Uhe Monjolinho Barramento,Nonoai,ANA telemetria,PLUVIOMETRICA,-27.3456,-52.7336,Rio Passo Fundo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_73520000,Pch Rio Dos Índios Barramento,Nonoai,ANA telemetria,FLUVIOMETRICA,-27.2814,-52.7953,Rio Dos Índios,Não catalogada (ANA),,,102.0,2026-08-24 17:00:00,,,,,,,,Sem cota de referência publicada,gray,
ANA_73528000,Pch Rio Dos Índios Jusante,Nonoai,ANA telemetria,PLUVIOMETRICA,-27.2456,-52.7944,Rio Dos Índios,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74040080,Uhe Foz Do Chapecó Barramento,Alpestre,ANA telemetria,PLUVIOMETRICA,-27.14,-53.0433,Rio Uruguai,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74087500,Iraí - Rio Uruguai,Iraí,ANA telemetria,PLUVIOMETRICA,-27.1953,-53.1953,Rio Uruguai,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74100000,Iraí,Iraí,ANA telemetria,PLUVIOMETRICA,-27.1756,-53.2297,Rio Uruguai,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74100300,Iraí - Rio Do Mel,Iraí,ANA telemetria,PLUVIOMETRICA,-27.1989,-53.2494,Rio Do Mel,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74120700,Cgh Mata Cobra Montante 2,Carazinho,ANA telemetria,PLUVIOMETRICA,-28.2472,-52.8011,Rio Da Várzea,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74120750,Cgh Mata Cobra Montante 1,Carazinho,ANA telemetria,PLUVIOMETRICA,-28.2653,-52.8969,Rio Da Várzea,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74120900,Cgh Mata Cobra Barramento,Almirante Tamandaré Do Sul,ANA telemetria,PLUVIOMETRICA,-28.1031,-53.0147,Rio Da Várzea,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74130000,Cgh Mata Cobra Jusante,Almirante Tamandaré Do Sul,ANA telemetria,FLUVIOMETRICA,-28.0986,-53.0156,Rio Da Várzea,Não catalogada (ANA),,,102.0,2026-08-24 17:00:00,,,33.4,medida,,,,Sem cota de referência publicada,gray,
ANA_74186000,Barra Funda/Novo Barreiro,Barra Funda,ANA telemetria,PLUVIOMETRICA,-27.9228,-53.0472,Rio Da Várzea,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74189000,Sarandi,Sarandi,ANA telemetria,PLUVIOMETRICA,-27.9372,-52.9194,Arroio Caturete,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74240000,Rodeio Bonito,Rodeio Bonito,ANA telemetria,PLUVIOMETRICA,-27.4989,-53.1603,Rio Da Várzea,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74339000,Pch Guarita João Amado Montante,Palmeira Das Missões,ANA telemetria,PLUVIOMETRICA,-27.8344,-53.5144,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74339400,Pch Guarita Reservatório João Amado 3,Palmeira Das Missões,ANA telemetria,PLUVIOMETRICA,-27.7878,-53.5325,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74339500,Pch Guarita Reservatório João Amado 2,Palmeira Das Missões,ANA telemetria,PLUVIOMETRICA,-27.7697,-53.5331,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74339700,Pch Guarita Reservatório João Amado 1,Palmeira Das Missões,ANA telemetria,PLUVIOMETRICA,-27.7844,-53.5403,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74340000,Pch Guarita Barramento João Amado,Palmeira Das Missões,ANA telemetria,PLUVIOMETRICA,-27.7653,-53.5575,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74345000,Pch Guarita Montante,Redentora,ANA telemetria,PLUVIOMETRICA,-27.6283,-53.5725,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74350000,Pch Guarita Barramento,Redentora,ANA telemetria,PLUVIOMETRICA,-27.6139,-53.5714,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74350050,Pch Guarita Alça,Redentora,ANA telemetria,PLUVIOMETRICA,-27.6114,-53.5758,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74350100,Pch Guarita Jusante,Redentora,ANA telemetria,FLUVIOMETRICA,-27.6067,-53.5742,Rio Guarita,Não catalogada (ANA),,,96.0,2026-08-24 16:00:00,,,49.08,medida,,,,Sem cota de referência publicada,gray,
ANA_74350900,Pch Ferradura Barramento,Erval Seco,ANA telemetria,PLUVIOMETRICA,-27.5606,-53.5789,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74351000,Pch Ferradura Jusante,Erval Seco,ANA telemetria,PLUVIOMETRICA,-27.5589,-53.5764,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74352000,Cgh Das Cabras Barramento,Erval Seco,ANA telemetria,PLUVIOMETRICA,-27.5367,-53.5697,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74352200,Cgh Das Cabras Jusante,Erval Seco,ANA telemetria,PLUVIOMETRICA,-27.5344,-53.565,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74355000,Pch Tambaú Barramento,Erval Seco,ANA telemetria,FLUVIOMETRICA,-27.44,-53.5614,Rio Guarita,Não catalogada (ANA),,,186.0,2026-08-24 16:00:00,,,30.25,medida,,,,Sem cota de referência publicada,gray,
ANA_74356000,Pch Tambaú Jusante,Erval Seco,ANA telemetria,PLUVIOMETRICA,-27.4303,-53.5611,Rio Guarita,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74359000,Cgh Carlos Bevilácqua Barramento,Seberi,ANA telemetria,PLUVIOMETRICA,-27.6028,-53.3917,Arroio Fortaleza,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74359600,Cgh Frederico João Cerutti Jusante,Seberi,ANA telemetria,FLUVIOMETRICA,-27.5086,-53.4314,Arroio Fortaleza,Não catalogada (ANA),,,42.0,2026-08-24 17:00:00,0.0,0.0,27.94,medida,,,,Sem cota de referência publicada,gray,
ANA_74361000,Cgh Granja Velha Montante,Taquaruçu Do Sul,ANA telemetria,PLUVIOMETRICA,-27.4233,-53.5406,Arroio Fortaleza,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74460000,Ponte Do Rio Turvo,Santo Augusto,ANA telemetria,PLUVIOMETRICA,-27.8247,-53.7303,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74462000,Pch Carlos Gonzatto Ponte Turvo,Santo Augusto,ANA telemetria,PLUVIOMETRICA,-27.8203,-53.7328,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74462500,Coronel Bicaco,Coronel Bicaco,ANA telemetria,PLUVIOMETRICA,-27.7169,-53.7136,Lajeado Paiol,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74463000,Pch Carlos Gonzatto Vila Turvo,Campo Novo,ANA telemetria,FLUVIOMETRICA,-27.7089,-53.775,Rio Turvo,Não catalogada (ANA),,,194.0,2026-08-24 18:00:00,0.0,0.4,30.06,medida,,,,Sem cota de referência publicada,gray,
ANA_74464500,Pch Carlos Gonzatto Barramento,Campo Novo,ANA telemetria,PLUVIOMETRICA,-27.6247,-53.8028,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
ANA_74466000,Pch Marco Baldo Barramento,Braga,ANA telemetria,PLUVIOMETRICA,-27.575,-53.7897,Rio Turvo,Não catalogada (ANA),,,,,,,,,,,,Sem transmissão recente,gray,
